Model Outputs
200
,,Id_5:LPelvisAngles_M,,,Id_5:LHipAngles_M,,,Id_5:LKneeAngles_M,,,Id_5:LAnkleAngles_M,,,Id_5:RPelvisAngles_M,,,Id_5:RHipAngles_M,,,Id_5:RKneeAngles_M,,,Id_5:RAnkleAngles_M,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
905,0,8.78957,2.45844,-6.79793,45.5708,8.35778,-17.3013,53.5146,-14.582,-11.6792,9.24336,-3.44341,15.1009,8.78957,-2.45844,6.79793,-13.4146,0.0769838,-16.6396,10.119,-0.728563,-24.092,-9.71461,-10.8407,34.3888
906,0,8.72311,2.69147,-7.50142,44.7105,9.16797,-16.9562,49.6904,-14.1946,-11.4795,9.35508,-3.68727,16.2019,8.72311,-2.69147,7.50142,-14.5992,0.00203821,-17.84,9.39739,-0.760277,-25.0736,-13.9877,-11.2129,35.2955
907,0,8.66066,2.89616,-8.15912,43.8176,9.89334,-16.5465,45.914,-13.7081,-11.388,9.49557,-3.96462,17.4391,8.66066,-2.89616,8.15912,-15.6154,-0.0610494,-19.0646,8.93133,-0.833351,-25.7808,-18.2436,-11.4511,35.8646
908,0,8.6003,3.07178,-8.76814,42.9041,10.5332,-16.0902,42.2191,-13.1427,-11.367,9.66885,-4.26361,18.7537,8.6003,-3.07178,8.76814,-16.4561,-0.117371,-20.2804,8.73899,-0.95584,-26.2107,-22.341,-11.5557,36.112
909,0,8.53877,3.21891,-9.32593,41.9781,11.0907,-15.5835,38.6294,-12.5074,-11.4575,9.86895,-4.58722,20.1533,8.53877,-3.21891,9.32593,-17.118,-0.171975,-21.4542,8.83502,-1.1377,-26.3715,-26.1472,-11.5417,36.0789
910,0,8.47369,3.33787,-9.83049,41.0496,11.5705,-15.0329,35.1774,-11.8221,-11.6293,10.0956,-4.92278,21.578,8.47369,-3.33787,9.83049,-17.601,-0.228422,-22.5563,9.22801,-1.38862,-26.2711,-29.5489,-11.4314,35.8179
911,0,8.4015,3.42985,-10.2812,40.1258,11.9797,-14.4393,31.885,-11.107,-11.9076,10.3375,-5.27048,23.0245,8.4015,-3.42985,10.2812,-17.9097,-0.289181,-23.5575,9.92079,-1.71557,-25.9256,-32.4653,-11.2502,35.3851
912,0,8.32113,3.4954,-10.6781,39.213,12.325,-13.8123,28.7765,-10.3864,-12.2443,10.5882,-5.61433,24.4244,8.32113,-3.4954,10.6781,-18.0489,-0.355533,-24.4352,10.9123,-2.12236,-25.3553,-34.8469,-11.0228,34.835
913,0,8.22374,3.53864,-11.0204,38.311,12.6136,-13.1579,25.87,-9.68253,-12.6561,10.8344,-5.95492,25.7803,8.22374,-3.53864,11.0204,-18.0356,-0.429859,-25.1712,12.1958,-2.60687,-24.5792,-36.6701,-10.7672,34.2074
914,0,8.11204,3.56088,-11.3099,37.4289,12.8531,-12.4741,23.1874,-9.01355,-13.1237,11.0665,-6.28208,27.0534,8.11204,-3.56088,11.3099,-17.8768,-0.512961,-25.7553,13.7615,-3.16157,-23.6202,-37.9362,-10.4956,33.5292
915,0,7.98204,3.56017,-11.5467,36.5671,13.0444,-11.7566,20.7462,-8.39352,-13.6133,11.2694,-6.58227,28.1962,7.98204,-3.56017,11.5467,-17.5883,-0.601558,-26.1799,15.5959,-3.77279,-22.4991,-38.662,-10.212,32.8091
916,0,7.83358,3.54307,-11.7326,35.7319,13.1957,-11.0221,18.5637,-7.84025,-14.1094,11.4345,-6.85138,29.1997,7.83358,-3.54307,11.7326,-17.1851,-0.700552,-26.4495,17.6821,-4.42257,-21.2363,-38.8819,-9.91481,32.0409
917,0,7.66645,3.50656,-11.869,34.9246,13.3055,-10.267,16.651,-7.36021,-14.5834,11.5443,-7.07909,30.0334,7.66645,-3.50656,11.869,-16.6805,-0.806225,-26.5692,20.0006,-5.08985,-19.8558,-38.6477,-9.5983,31.2077
918,0,7.48309,3.45147,-11.9571,34.1518,13.3748,-9.49472,15.0229,-6.95764,-15.0136,11.5865,-7.25772,30.6775,7.48309,-3.45147,11.9571,-16.0865,-0.919038,-26.5515,22.5292,-5.75307,-18.3816,-38.0223,-9.2552,30.2867
919,0,7.28339,3.38131,-11.999,33.4165,13.4065,-8.71959,13.6844,-6.63494,-15.3896,11.5477,-7.38741,31.1397,7.28339,-3.38131,11.999,-15.4179,-1.04108,-26.4111,25.2423,-6.3907,-16.8418,-37.0809,-8.87845,29.254
920,0,7.07175,3.29464,-11.9955,32.7249,13.398,-7.95439,12.6418,-6.3887,-15.6917,11.416,-7.46561,31.4161,7.07175,-3.29464,11.9955,-14.6831,-1.17116,-26.1642,28.1119,-6.98433,-15.2658,-35.9052,-8.46407,28.0924
921,0,6.85169,3.19623,-11.9488,32.0799,13.3524,-7.22409,11.8951,-6.21364,-15.8938,11.1793,-7.49105,31.5057,6.85169,-3.19623,11.9488,-13.8914,-1.31327,-25.8276,31.1098,-7.5183,-13.6844,-34.5733,-8.01175,26.7936
922,0,6.63535,3.08042,-11.8613,31.4944,13.2654,-6.53048,11.4396,-6.09695,-16.0066,10.8308,-7.4689,31.4277,6.63535,-3.08042,11.8613,-13.0407,-1.46313,-25.4156,34.2049,-7.98046,-12.1318,-33.1614,-7.52608,25.3636
923,0,6.41928,2.95866,-11.7363,30.9655,13.1449,-5.92194,11.2729,-6.03517,-16.0306,10.3752,-7.4127,31.2292,6.41928,-2.95866,11.7363,-12.1455,-1.62943,-24.9457,37.3686,-8.36271,-10.6375,-31.7285,-7.01509,23.8198
924,0,6.21967,2.82569,-11.5785,30.5042,12.9883,-5.39168,11.3809,-6.01035,-15.9611,9.81161,-7.32042,30.9015,6.21967,-2.82569,11.5785,-11.1965,-1.80891,-24.4307,40.5733,-8.66068,-9.23005,-30.3205,-6.48973,22.1916
925,0,6.03768,2.69016,-11.3928,30.1077,12.8026,-4.97439,11.7502,-6.01461,-15.779,9.1546,-7.19607,30.4562,6.03768,-2.69016,11.3928,-10.2006,-2.00856,-23.8844,43.7934,-8.87304,-7.92634,-28.9651,-5.96041,20.5104
926,0,5.88128,2.55558,-11.1868,29.783,12.5944,-4.68423,12.3692,-6.0426,-15.4969,8.43402,-7.04912,29.9245,5.88128,-2.55558,11.1868,-9.15433,-2.2319,-23.3201,47.0075,-9.00194,-6.74248,-27.6757,-5.43865,18.8146
927,0,5.76045,2.42615,-10.9672,29.5326,12.371,-4.50821,13.2198,-6.08369,-15.1133,7.68467,-6.87645,29.2922,5.76045,-2.42615,10.9672,-8.05114,-2.48379,-22.7506,50.1973,-9.05371,-5.68141,-26.454,-4.93339,17.1378
928,0,5.67787,2.30817,-10.7421,29.3566,12.1426,-4.46262,14.2865,-6.13996,-14.6032,6.95684,-6.6782,28.5562,5.67787,-2.30817,10.7421,-6.88994,-2.76969,-22.1891,53.3473,-9.03739,-4.74231,-25.2951,-4.45239,15.5116
929,0,5.63894,2.20711,-10.5201,29.2535,11.9208,-4.51979,15.5508,-6.20759,-13.9594,6.30452,-6.44863,27.6905,5.63894,-2.20711,10.5201,-5.66603,-3.09477,-21.6462,56.4446,-8.96309,-3.91912,-24.19,-4.00127,13.9618
930,0,5.64616,2.12864,-10.3095,29.2231,11.7183,-4.66732,16.9952,-6.28948,-13.174,5.78595,-6.18724,26.6873,5.64616,-2.12864,10.3095,-4.37529,-3.46403,-21.1339,59.4795,-8.84455,-3.20247,-23.1286,-3.58429,12.5097
931,0,5.70111,2.07834,-10.1179,29.2589,11.5482,-4.86691,18.6001,-6.38378,-12.2386,5.45094,-5.88734,25.5137,5.70111,-2.07834,10.1179,-3.01402,-3.8822,-20.6607,62.4438,-8.69522,-2.58176,-22.1017,-3.2041,11.1707
932,0,5.80459,2.0617,-9.95185,29.3594,11.4239,-5.10331,20.3454,-6.49462,-11.1653,5.33496,-5.55387,24.1805,5.80459,-2.0617,9.95185,-1.57774,-4.35371,-20.2319,65.3315,-8.52811,-2.04996,-21.1034,-2.86294,9.95814
933,0,5.95457,2.08345,-9.81661,29.5157,11.3571,-5.36174,22.2052,-6.62648,-9.96041,5.45586,-5.19004,22.6926,5.95457,-2.08345,9.81661,-0.0642025,-4.88176,-19.8506,68.1378,-8.35577,-1.5973,-20.1289,-2.56139,8.87846
934,0,6.1494,2.1474,-9.71718,29.7193,11.3575,-5.63718,24.1485,-6.78536,-8.66595,5.81189,-4.80942,21.0998,6.1494,-2.1474,9.71718,1.52915,-5.46823,-19.5162,70.8583,-8.18811,-1.21858,-19.1756,-2.29974,7.93624
935,0,6.38526,2.25643,-9.65575,29.9565,11.4312,-5.91123,26.1397,-6.96785,-7.33135,6.38328,-4.42286,19.4455,6.38526,-2.25643,9.65575,3.2031,-6.11425,-19.2212,73.489,-8.02963,-0.910085,-18.2432,-2.07749,7.13232
936,0,6.65791,2.41217,-9.63348,30.2103,11.5798,-6.20001,28.1339,-7.18075,-5.99546,7.14013,-4.0452,17.7953,6.65791,-2.41217,9.63348,4.95723,-6.81953,-18.9592,76.0255,-7.88588,-0.6664,-17.3328,-1.89323,6.4636
937,0,6.96294,2.61318,-9.65018,30.4647,11.7994,-6.51852,30.0935,-7.4299,-4.72485,8.05437,-3.69586,16.2405,6.96294,-2.61318,9.65018,6.79037,-7.58056,-18.7175,78.4624,-7.75618,-0.486378,-16.4465,-1.74572,5.92693
938,0,7.29471,2.85594,-9.70357,30.6941,12.0812,-6.85842,31.9724,-7.70665,-3.52961,9.08965,-3.37591,14.794,7.29471,-2.85594,9.70357,8.69821,-8.39205,-18.4839,80.7933,-7.6392,-0.366487,-15.5853,-1.63313,5.51654
939,0,7.64805,3.13359,-9.7912,30.881,12.412,-7.24646,33.7343,-8.02129,-2.46259,10.2175,-3.10291,13.5439,7.64805,-3.13359,9.7912,10.6766,-9.24531,-18.2457,83.0108,-7.53116,-0.308559,-14.7519,-1.5544,5.22925
940,0,8.01743,3.43616,-9.90936,31.0011,12.7743,-7.66976,35.3423,-8.36324,-1.52188,11.4067,-2.87489,12.4893,8.01743,-3.43616,9.90936,12.7185,-10.1278,-17.9918,85.1056,-7.42768,-0.311934,-13.9458,-1.50772,5.05876
941,0,8.39696,3.75083,-10.0535,31.0365,13.1477,-8.13159,36.7712,-8.73188,-0.708902,12.6338,-2.69411,11.6469,8.39696,-3.75083,10.0535,14.8147,-11.0234,-17.7132,87.0673,-7.32345,-0.377653,-13.1674,-1.49131,4.99878
942,0,8.78046,4.06345,-10.2174,30.9708,13.5113,-8.62585,38.0016,-9.12324,-0.00463439,13.8783,-2.55675,11.0033,8.78046,-4.06345,10.2174,16.9551,-11.9133,-17.4038,88.8855,-7.21448,-0.507822,-12.4132,-1.50326,5.04247
943,0,9.15973,4.35941,-10.394,30.786,13.8431,-9.13247,39.0183,-9.52294,0.621294,15.1201,-2.4545,10.5223,9.15973,-4.35941,10.394,19.1244,-12.7757,-17.0597,90.5466,-7.09548,-0.701063,-11.6822,-1.54056,5.17871
944,0,9.52706,4.62581,-10.5742,30.4741,14.1239,-9.64747,39.8199,-9.92763,1.18927,16.3466,-2.38319,10.1859,9.52706,-4.62581,10.5742,21.3077,-13.5896,-16.6778,92.0387,-6.96079,-0.95168,-10.9694,-1.59883,5.39141
945,0,9.87347,4.85158,-10.7482,30.0256,14.3369,-10.1446,40.4068,-10.3186,1.71424,17.5446,-2.33576,9.96179,9.87347,-4.85158,10.7482,23.4872,-14.3334,-16.2589,93.3485,-6.80699,-1.25473,-10.2725,-1.67363,5.66421
946,0,10.1907,5.02809,-10.905,29.4378,14.4683,-10.6134,40.7865,-10.6852,2.20536,18.7045,-2.30779,9.8295,10.1907,-5.02809,10.905,25.6467,-14.9873,-15.8085,94.4648,-6.63445,-1.60026,-9.58772,-1.75908,5.97558
947,0,10.4718,5.14965,-11.0338,28.7135,14.5079,-11.0585,40.9703,-11.0253,2.66241,19.8197,-2.29858,9.78592,10.4718,-5.14965,11.0338,27.7692,-15.5344,-15.3252,95.3764,-6.43575,-1.97286,-8.91274,-1.84816,6.29974
948,0,10.7109,5.21313,-11.1239,27.8546,14.4496,-11.45,40.9697,-11.3133,3.07741,20.8781,-2.30284,9.80605,10.7109,-5.21313,11.1239,29.8407,-15.9609,-14.8208,96.0748,-6.21685,-2.36097,-8.24542,-1.93472,6.61435
949,0,10.9057,5.21736,-11.1669,26.8725,14.2912,-11.7984,40.8005,-11.5497,3.43921,21.8744,-2.32151,9.89439,10.9057,-5.21736,11.1669,31.8508,-16.2571,-14.3076,96.5553,-5.98336,-2.75754,-7.58569,-2.01389,6.90172
950,0,11.0557,5.16312,-11.1551,25.7792,14.034,-12.1009,40.4781,-11.726,3.73341,22.8011,-2.35356,10.0459,11.0557,-5.16312,11.1551,33.7907,-16.4168,-13.7962,96.8137,-5.73989,-3.15713,-6.93326,-2.08175,7.14777
951,0,11.1641,5.0526,-11.0841,24.5878,13.6834,-12.3458,40.0163,-11.8298,3.94821,23.648,-2.39623,10.2475,11.1641,-5.0526,11.0841,35.6566,-16.4375,-13.2976,96.8503,-5.49222,-3.56339,-6.29042,-2.13706,7.34811
952,0,11.2356,4.88822,-10.9504,23.3138,13.2463,-12.5431,39.4289,-11.8639,4.07247,24.4083,-2.44983,10.5003,11.2356,-4.88822,10.9504,37.4428,-16.3183,-12.8201,96.6635,-5.24297,-3.98134,-5.65823,-2.18002,7.50358
953,0,11.2763,4.67294,-10.7522,21.9706,12.7313,-12.691,38.7262,-11.8242,4.09405,25.0719,-2.51344,10.7997,11.2763,-4.67294,10.7522,39.149,-16.0604,-12.3757,96.2574,-5.00189,-4.43426,-5.04017,-2.21588,7.63326
954,0,11.2935,4.41092,-10.4894,20.5702,12.1484,-12.7955,37.9155,-11.7124,4.00804,25.6279,-2.58642,11.1426,11.2935,-4.41092,10.4894,40.7689,-15.668,-11.9784,95.6298,-4.77939,-4.92764,-4.438,-2.24664,7.74445
955,0,11.2937,4.10546,-10.1626,19.1211,11.507,-12.862,37.0021,-11.5311,3.80876,26.0652,-2.66891,11.529,11.2937,-4.10546,10.1626,42.3012,-15.1453,-11.6323,94.7857,-4.58003,-5.48588,-3.85322,-2.28005,7.86514
956,0,11.2828,3.76101,-9.77304,17.6291,10.8169,-12.9,35.9881,-11.2846,3.49724,26.3705,-2.76084,11.9585,11.2828,-3.76101,9.77304,43.7381,-14.4994,-11.3574,93.7236,-4.42388,-6.11509,-3.28934,-2.32012,8.00979
957,0,11.2666,3.38235,-9.3226,16.0982,10.0888,-12.9183,34.8744,-10.9785,3.07051,26.5307,-2.86362,12.437,11.2666,-3.38235,9.3226,45.0745,-13.7376,-11.1526,92.4455,-4.31355,-6.8187,-2.74727,-2.3714,8.19476
958,0,11.2493,2.97508,-8.81319,14.5303,9.33336,-12.9291,33.6626,-10.62,2.53755,26.5322,-2.97709,12.9631,11.2493,-2.97508,8.81319,46.3064,-12.8688,-11.0251,90.9558,-4.26278,-7.59954,-2.22873,-2.43891,8.43801
959,0,11.2326,2.54491,-8.24691,12.9261,8.56169,-12.9438,32.3536,-10.2164,1.89842,26.3608,-3.10327,13.5455,11.2326,-2.54491,8.24691,47.4232,-11.9026,-10.9769,89.2537,-4.27881,-8.43363,-1.73413,-2.52187,8.73648
960,0,11.2188,2.09835,-7.62651,11.2878,7.78569,-12.9738,30.9525,-9.7765,1.16085,26.0042,-3.24301,14.1872,11.2188,-2.09835,7.62651,48.4218,-10.8496,-11.0063,87.3462,-4.3694,-9.31001,-1.26332,-2.62325,9.1005
961,0,11.2081,1.6414,-6.95546,9.61641,7.01713,-13.0281,29.4651,-9.30898,0.32773,25.4501,-3.39823,14.8956,11.2081,-1.6414,6.95546,49.2928,-9.72076,-11.1069,85.235,-4.53472,-10.1884,-0.815356,-2.73866,9.51401
962,0,11.1996,1.18079,-6.23798,7.91531,6.26808,-13.1171,27.9006,-8.82392,-0.597927,24.6893,-3.5716,15.6812,11.1996,-1.18079,6.23798,50.0302,-8.52835,-11.2684,82.9261,-4.77222,-11.042,-0.386694,-2.86729,9.97368
963,0,11.1921,0.722308,-5.4795,6.1891,5.54983,-13.2468,26.2721,-8.33142,-1.61332,23.7126,-3.76546,16.5523,11.1921,-0.722308,5.4795,50.6261,-7.28515,-11.4738,80.4227,-5.0699,-11.8302,0.0269621,-3.00404,10.4609
964,0,11.183,0.271647,-4.68593,4.44296,4.87263,-13.4239,24.5945,-7.84104,-2.71086,22.5119,-3.98167,17.5145,11.183,-0.271647,4.68593,51.0739,-6.00481,-11.7194,77.732,-5.42766,-12.5173,0.433646,-3.14522,10.9622
965,0,11.1705,-0.16672,-3.86461,2.685,4.2453,-13.6535,22.8852,-7.36352,-3.88606,21.0802,-4.22305,18.5765,11.1705,0.16672,3.86461,51.3686,-4.70209,-11.9856,74.8608,-5.82638,-13.0856,0.840563,-3.29066,11.4768
966,0,11.1519,-0.58843,-3.02295,0.923171,3.67482,-13.9377,21.1638,-6.90665,-5.12577,19.4111,-4.48989,19.735,11.1519,0.58843,3.02295,51.5053,-3.39235,-12.2586,71.8161,-6.25035,-13.5151,1.25386,-3.43872,11.9987
967,0,11.1251,-0.990689,-2.17005,-0.832317,3.16586,-14.2796,19.4515,-6.47947,-6.41472,17.4986,-4.78233,20.985,11.1251,0.990689,2.17005,51.4819,-2.09232,-12.5209,68.6107,-6.67652,-13.8031,1.68992,-3.59121,12.534
968,0,11.0888,-1.37113,-1.3138,-2.56978,2.72084,-14.6795,17.7714,-6.08807,-7.73411,15.3393,-5.09863,22.3134,11.0888,1.37113,1.3138,51.2971,-0.819071,-12.7627,65.2544,-7.08596,-13.9525,2.14802,-3.75035,13.0902
969,0,11.0409,-1.72842,-0.463004,-4.27703,2.33919,-15.1391,16.1486,-5.73763,-9.0614,12.9315,-5.43569,23.7009,11.0409,1.72842,0.463004,50.9543,0.41011,-12.9774,61.768,-7.46046,-13.9755,2.64692,-3.92018,13.6809
970,0,10.9816,-2.06236,0.375294,-5.93886,2.01828,-15.6577,14.61,-5.43188,-10.3758,10.2814,-5.78885,25.123,10.9816,2.06236,-0.375294,50.4583,1.57923,-13.155,58.1693,-7.77571,-13.8991,3.18606,-4.10642,14.3251
971,0,10.9114,-2.3726,1.19351,-7.53931,1.75345,-16.2336,13.1846,-5.17263,-11.6544,7.39975,-6.15133,26.5481,10.9114,2.3726,-1.19351,49.8162,2.67297,-13.2859,54.4809,-8.00742,-13.7448,3.77468,-4.31154,15.0302
972,0,10.8301,-2.66,1.98583,-9.06258,1.53832,-16.8645,11.9029,-4.96229,-12.8721,4.3109,-6.51419,27.9392,10.8301,2.66,-1.98583,49.0414,3.67869,-13.3833,50.7342,-8.15046,-13.5513,4.41342,-4.54433,15.8246
973,0,10.7395,-2.92553,2.74655,-10.4913,1.36534,-17.5446,10.7958,-4.80226,-14.0092,1.04972,-6.86772,29.26,10.7395,2.92553,-2.74655,48.1487,4.58698,-13.4424,46.9608,-8.18564,-13.3504,5.10011,-4.80697,16.7131
974,0,10.6396,-3.16996,3.47163,-11.81,1.22703,-18.2661,9.89563,-4.69496,-15.0424,-2.33239,-7.19981,30.4697,10.6396,3.16996,-3.47163,47.1531,5.39293,-13.4622,43.1958,-8.10144,-13.1553,5.83257,-5.09512,17.6781
975,0,10.5313,-3.39463,4.15725,-13.0044,1.11437,-19.0189,9.23278,-4.64229,-15.9527,-5.76897,-7.49972,31.5362,10.5313,3.39463,-4.15725,46.0746,6.09593,-13.4523,39.4756,-7.89938,-13.0095,6.59792,-5.41395,18.7334
976,0,10.4188,-3.60029,4.80137,-14.0576,1.01938,-19.7918,8.83663,-4.64791,-16.7181,-9.17918,-7.75664,32.4303,10.4188,3.60029,-4.80137,44.9333,6.70081,-13.3991,35.8339,-7.57229,-12.9214,7.38433,-5.75262,19.8395
977,0,10.296,-3.78823,5.40062,-14.9668,0.934466,-20.5665,8.732,-4.71496,-17.3233,-12.4734,-7.96254,33.134,10.296,3.78823,-5.40062,43.7467,7.21439,-13.3122,32.3101,-7.13679,-12.9203,8.17324,-6.11108,20.993
978,0,10.1679,-3.95793,5.95449,-15.7201,0.853146,-21.3289,8.94018,-4.84663,-17.7545,-15.5583,-8.11362,33.643,10.1679,3.95793,-5.95449,42.5395,7.64702,-13.1758,28.9408,-6.6033,-13.0195,8.95171,-6.4798,22.1605
979,0,10.0307,-4.10955,6.46152,-16.3184,0.769561,-22.0629,9.47633,-5.04494,-17.9996,-18.3478,-8.2087,33.9602,10.0307,4.10955,-6.46152,41.3308,8.00883,-13.0042,25.7592,-6.00305,-13.2197,9.69968,-6.85425,23.3257
980,0,9.88553,-4.24251,6.92131,-16.7617,0.678396,-22.7541,10.348,-5.30904,-18.0616,-20.7735,-8.25251,34.1056,9.88553,4.24251,-6.92131,40.1386,8.31078,-12.7748,22.7878,-5.35301,-13.5446,10.3958,-7.22969,24.473
981,0,9.72443,-4.35456,7.33438,-17.0623,0.578378,-23.3907,11.5562,-5.63519,-17.939,-22.7844,-8.24827,34.0915,9.72443,4.35456,-7.33438,38.9758,8.56124,-12.4958,20.0561,-4.68864,-13.9862,11.0295,-7.60275,25.5917
982,0,9.55203,-4.44281,7.70231,-17.2233,0.468639,-23.9653,13.0942,-6.01796,-17.6414,-24.3574,-8.20134,33.9358,9.55203,4.44281,-7.70231,37.8618,8.76794,-12.1606,17.5846,-4.03699,-14.548,11.5931,-7.97207,26.6781
983,0,9.36203,-4.5065,8.02599,-17.2613,0.34865,-24.4752,14.9489,-6.44961,-17.1793,-25.4897,-8.11543,33.6491,9.36203,4.5065,-8.02599,36.803,8.93765,-11.765,15.3867,-3.42251,-15.2196,12.0771,-8.33395,27.7221
984,0,9.15301,-4.54178,8.30739,-17.1905,0.221425,-24.9176,17.1004,-6.9184,-16.5663,-26.2031,-7.99085,33.2298,9.15301,4.54178,-8.30739,35.8065,9.0732,-11.3252,13.4743,-2.87084,-15.9671,12.4824,-8.68581,28.7174
985,0,8.92411,-4.54665,8.54877,-17.0244,0.0896191,-25.2975,19.5248,-7.41527,-15.8189,-26.5351,-7.82867,32.6778,8.92411,4.54665,-8.54877,34.878,9.17799,-10.8273,11.8551,-2.39493,-16.7979,12.8119,-9.02989,29.6718
986,0,8.67426,-4.52377,8.75211,-16.7789,-0.0475784,-25.62,22.1939,-7.92826,-14.951,-26.5341,-7.62651,31.9797,8.67426,4.52377,-8.75211,34.0141,9.25634,-10.2802,10.5283,-2.00357,-17.6595,13.0635,-9.3537,30.553
987,0,8.40428,-4.46832,8.91959,-16.4651,-0.183478,-25.8891,25.0779,-8.44756,-13.9839,-26.2568,-7.38464,31.1299,8.40428,4.46832,-8.91959,33.2184,9.30552,-9.68915,9.49668,-1.70231,-18.5374,13.2447,-9.65836,31.367
988,0,8.11608,-4.3797,9.05299,-16.0935,-0.314053,-26.1092,28.1449,-8.96415,-12.936,-25.7606,-7.10299,30.1201,8.11608,4.3797,-9.05299,32.4897,9.32421,-9.06552,8.75369,-1.4892,-19.4089,13.3538,-9.94275,32.1138
989,0,7.80985,-4.26283,9.15426,-15.6743,-0.440186,-26.2871,31.3641,-9.47089,-11.8341,-25.1037,-6.78503,28.9541,7.80985,4.26283,-9.15426,31.8204,9.31428,-8.41553,8.28825,-1.35512,-20.2402,13.3865,-10.1969,32.7704
990,0,7.49274,-4.1148,9.22556,-15.2087,-0.555687,-26.4238,34.705,-9.95997,-10.7036,-24.3355,-6.4353,27.6398,7.49274,4.1148,-9.22556,31.2133,9.27103,-7.74827,8.09072,-1.2892,-21.0081,13.3389,-10.4159,33.3281
991,0,7.16807,-3.94562,9.26916,-14.7016,-0.665896,-26.5233,38.1377,-10.4248,-9.58051,-23.5045,-6.06192,26.1998,7.16807,3.94562,-9.26916,30.6632,9.19918,-7.08849,8.14308,-1.27795,-21.6948,13.2011,-10.5998,33.7906
992,0,6.84426,-3.75213,9.28636,-14.1487,-0.765083,-26.583,41.6353,-10.8572,-8.49794,-22.6464,-5.67329,24.6613,6.84426,3.75213,-9.28636,30.1714,9.09247,-6.44471,8.42896,-1.30531,-22.2744,12.9644,-10.7394,34.1385
993,0,6.53042,-3.54167,9.27993,-13.545,-0.857745,-26.603,45.1732,-11.2496,-7.49312,-21.7902,-5.2795,23.0616,6.53042,3.54167,-9.27993,29.7396,8.9541,-5.8406,8.93029,-1.35724,-22.7314,12.622,-10.8339,34.3722
994,0,6.23129,-3.32113,9.25255,-12.8889,-0.947875,-26.5846,48.7282,-11.5939,-6.5997,-20.9548,-4.89033,21.4414,6.23129,3.32113,-9.25255,29.3633,8.78672,-5.28814,9.62438,-1.41793,-23.0407,12.1621,-10.8731,34.4686
995,0,5.9601,-3.09166,9.20669,-12.1681,-1.03583,-26.5257,52.2794,-11.8825,-5.84943,-20.1524,-4.51539,19.8448,5.9601,3.09166,-9.20669,29.0488,8.58925,-4.80257,10.4935,-1.4749,-23.1658,11.5854,-10.8438,34.3965
996,0,5.72141,-2.86292,9.14666,-11.3792,-1.12966,-26.4302,55.8079,-12.1091,-5.26959,-19.3902,-4.16374,18.3168,5.72141,2.86292,-9.14666,28.7971,8.369,-4.39647,11.5215,-1.51915,-23.0956,10.9056,-10.7435,34.1484
997,0,5.52716,-2.6375,9.07598,-10.5096,-1.23308,-26.3,59.2976,-12.2688,-4.87818,-18.668,-3.84277,16.8976,5.52716,2.6375,-9.07598,28.6158,8.12854,-4.06868,12.693,-1.54182,-22.8036,10.1468,-10.5594,33.6894
998,0,5.37956,-2.42298,8.99957,-9.5568,-1.35315,-26.1414,62.7329,-12.3608,-4.68548,-17.9816,-3.5588,15.6234,5.37956,2.42298,-8.99957,28.5037,7.8753,-3.82881,13.9946,-1.54012,-22.2641,9.34689,-10.2867,32.9999
999,0,5.28864,-2.22489,8.92137,-8.50827,-1.49853,-25.9587,66.1021,-12.3855,-4.69838,-17.3264,-3.31782,14.5292,5.28864,2.22489,-8.92137,28.4719,7.61754,-3.66686,15.4208,-1.51184,-21.4606,8.56038,-9.91916,32.0523
1000,0,5.25702,-2.0494,8.84572,-7.35899,-1.67722,-25.7593,69.3943,-12.3474,-4.91057,-16.6958,-3.12294,13.6361,5.25702,2.0494,-8.84572,28.5231,7.36468,-3.58256,16.9676,-1.46091,-20.3737,7.84774,-9.45729,30.8314
1001,0,5.28713,-1.90264,8.77665,-6.10225,-1.89774,-25.5488,72.6013,-12.2534,-5.31463,-16.0829,-2.97705,12.963,5.28713,1.90264,-8.77665,28.6571,7.12768,-3.55473,18.6262,-1.38835,-18.9977,7.26238,-8.90151,29.3179
1002,0,5.37979,-1.79096,8.71753,-4.73215,-2.1689,-25.3323,75.7168,-12.1129,-5.8898,-15.4816,-2.88023,12.5141,5.37979,1.79096,-8.71753,28.8796,6.91918,-3.59729,20.4006,-1.31139,-17.3311,6.85968,-8.26734,27.5314
1003,0,5.53466,-1.71919,8.67101,-3.24377,-2.49812,-25.1141,78.7353,-11.9367,-6.61603,-14.8861,-2.83199,12.2899,5.53466,1.71919,-8.67101,29.1827,6.75061,-3.69101,22.2717,-1.23705,-15.3991,6.66213,-7.5673,25.4863
1004,0,5.74884,-1.69248,8.6397,-1.63397,-2.8919,-24.8948,81.6537,-11.7344,-7.4642,-14.2894,-2.82956,12.2786,5.74884,1.69248,-8.6397,29.5604,6.63471,-3.84402,24.2253,-1.18551,-13.2431,6.6822,-6.82564,23.2374
1005,0,6.01804,-1.71433,8.62452,0.098416,-3.35478,-24.6729,84.4682,-11.5163,-8.40441,-13.6864,-2.86936,12.4637,6.01804,1.71433,-8.62452,29.9979,6.58181,-4.05849,26.2379,-1.17541,-10.9233,6.91905,-6.06628,20.8499
